图书名,价格,出版年,国家,作者
红楼梦,59.7,1996,人民文学出版社,清,曹雪芹 著
活着,20.0,2012,作家出版社,中国,余华
1984,28.0,2010,北京十月文艺出版社,英,乔治·奥威尔
哈利·波特,498.0,2008,人民文学出版社,中国,J.K.罗琳 (J.K.Rowling)
三体全集 : 地球往事三部曲,168.0,2012,重庆出版社,中国,刘慈欣
百年孤独,39.5,2011,南海出版公司,哥伦比亚,加西亚·马尔克斯
飘,40.0,2000,译林出版社,美国,玛格丽特·米切尔
动物农场,10.0,2007,上海译文出版社,英,乔治·奥威尔
房思琪的初恋乐园,45.0,2018,北京联合出版公司,中国,林奕含
三国演义（全二册）,39.5,1998,人民文学出版社,明,罗贯中
福尔摩斯探案全集（上中下）,68.0,1981,群众出版社,英,阿·柯南道尔
白夜行,39.5,2013,南海出版公司,日,东野圭吾
小王子,22.0,2003,人民文学出版社,法,圣埃克苏佩里
安徒生童话故事集,25.0,1997,人民文学出版社,丹麦,安徒生
天龙八部,96.0,1994,生活·读书·新知三联书店,中国,金庸
呐喊,0.36,1973,人民文学出版社,中国,鲁迅
撒哈拉的故事,15.8,2003,哈尔滨出版社,中国,三毛
悉达多 : 一首印度的诗,32.0,2017,天津人民出版社,德,赫尔曼·黑塞
邓小平时代,88.0,2013,生活·读书·新知三联书店,美,傅高义 (Ezra.F.Vogel)
杀死一只知更鸟,32.0,2012,译林出版社,美,哈珀·李
明朝那些事儿（1-9） : 限量版,358.2,2009,中国海关出版社,中国,当年明月
失踪的孩子 : 那不勒斯四部曲4,62.0,2018,人民文学出版社,意,埃莱娜·费兰特
新名字的故事 : 那不勒斯四部曲2,59.0,2017,人民文学出版社,意,埃莱娜·费兰特
野草,0.2,1973,人民文学出版社,中国,鲁迅
沉默的大多数 : 王小波杂文随笔全编,27.0,1997,中国青年出版社,中国,王小波
中国历代政治得失,12.0,2001,生活·读书·新知三联书店,中国,钱穆
局外人,22.0,2010,上海译文出版社,法,阿尔贝·加缪
卡拉马佐夫兄弟,78.0,2015,上海译文出版社,俄,费奥多尔·陀思妥耶夫斯基
白鹿原 : 20周年精装典藏版,39.0,2012,人民文学出版社,中国,陈忠实
乡土中国,38.0,2006,上海人民出版社,中国,费孝通
人类简史 : 从动物到上帝,68.0,2014,中信出版社,以色列,尤瓦尔·赫拉利
彷徨,0.37,1973,人民文学出版社,中国,鲁迅
围城,19.0,1991,人民文学出版社,中国,钱锺书
平凡的世界（全三部）,64.0,2005,人民文学出版社,中国,路遥
许三观卖血记,24.0,2012,作家出版社,中国,余华
罗杰疑案 : 阿加莎·克里斯蒂作品02,28.0,2013,新星出版社,英,阿加莎·克里斯蒂
笑傲江湖（全四册）,76.8,1994,生活·读书·新知三联书店,中国,金庸
我与地坛 : 史铁生代表作,25.0,2002,春风文艺出版社,中国,史铁生
献给阿尔吉侬的花束,36.0,2015,广西师范大学出版社,美,丹尼尔·凯斯
东方快车谋杀案,18.0,2006,人民文学出版社,英,阿加莎·克里斯蒂
肖申克的救赎,29.9,2006,人民文学出版社,美,斯蒂芬·金
基督山伯爵,43.9,1991,上海译文出版社,法国,大仲马
江城,36.0,2012,上海译文出版社,美,彼得·海斯勒
城南旧事 : 纪念普及版,16.0,2003,中国青年出版社,中国,林海音 文
故事新编,0.31,1973,人民文学出版社,中国,鲁迅
霍乱时期的爱情,39.5,2012,南海出版公司,哥伦比亚,加西亚·马尔克斯
艺术的故事,280.0,2008,广西美术出版社,英,贡布里希 (Sir E.H.Gombrich)
万历十五年,18.0,1997,生活·读书·新知三联书店,美,黄仁宇
朝花夕拾,0.25,1973,人民文学出版社,中国,鲁迅
月亮和六便士,15.0,2006,上海译文出版社,英,毛姆
厌女 : 日本的女性嫌恶,28.0,2015,上海三联书店,中国,上野千鹤子
秋园,38.0,2020,北京联合出版公司,中国,杨本芬
射雕英雄传,47.0,1999,生活·读书·新知三联书店,中国,金庸
置身事内 : 中国政府与经济发展,65.0,2021,上海人民出版社,中国,兰小欢
追风筝的人,29.0,2006,上海人民出版社,美,卡勒德·胡赛尼
寻路中国 : 从乡村到工厂的自驾之旅,33.0,2011,上海译文出版社,美,彼得·海斯勒
树上的男爵,30.0,2012,译林出版社,意大利,伊塔洛·卡尔维诺
刀锋,18.0,2007,上海译文出版社,英,毛姆
格林童话全集,21.45,1994,人民文学出版社,德国,格林兄弟
无人生还,19.0,2008,人民文学出版社,英,阿加莎・克里斯蒂
中国少年儿童百科全书（全四册）,168.0,1991,浙江教育出版社,中国,林崇德 主编
西游记（全二册）,47.2,2004,人民文学出版社,中国,吴承恩
鼠疫,34.0,2013,上海译文出版社,法,阿尔贝·加缪
嫌疑人X的献身,28.0,2008,南海出版公司,日,东野圭吾
黄金时代 : 时代三部曲,19.0,1999,花城出版社,中国,王小波
傲慢与偏见,13.0,1993,人民文学出版社,英,奥斯丁
史记（全十册） : （全十册）,125.0,1982,中华书局,中国,司马迁
可能性的艺术 : 比较政治学30讲,82.0,2022,广西师范大学出版社,中国,刘瑜
悲惨世界（上中下）,66.0,1992,人民文学出版社,法,雨果
始于极限 : 女性主义往复书简,59,2022,新星出版社,日,上野千鹤子
台北人,38.0,2010,广西师范大学出版社,中国,白先勇
永恒的终结 : 关于时间旅行的终极奥秘和恢宏构想,32.0,2014,江苏凤凰文艺出版社,美,艾萨克·阿西莫夫
诗经,19.9,2006,北京出版社,中国,孔丘 编订
刘擎西方现代思想讲义,79.0,2021,新星出版社,中国,刘擎
孽子,46.0,2010.1,广西师范大学出版社,中国,白先勇
太白金星有点烦,45.0,2023,湖南文艺出版社,中国,马伯庸
历史深处的忧虑 : 近距离看美国之一,19.0,1997,生活·读书·新知三联书店,中国,林达
神雕侠侣,76.8,1996,生活·读书·新知三联书店,中国,金庸
上帝掷骰子吗 : 量子物理史话,32.0,2006,辽宁教育出版社,中国,曹天元
美丽新世界,45.0,2017,上海译文出版社,英,奥尔德斯·赫胥黎
一个叫欧维的男人决定去死,35.0,2015,四川文艺出版社,瑞典,弗雷德里克·巴克曼
哭泣的骆驼,15.8,2003,哈尔滨出版社,中国,三毛
灿烂千阳,28.0,2007,上海人民出版社,美,卡勒德·胡赛尼
唐诗三百首,0.65,1984,中华书局,中国,蘅塘退士
文学回忆录 : 1989—1994,98.0,2013,广西师范大学出版社,中国,木心 口述
四世同堂,36.0,2008,北京十月文艺出版社,中国,老舍
美的历程,43.0,2009,生活·读书·新知三联书店,中国,李泽厚
窗边的小豆豆,20.0,2003,南海出版公司,日,黑柳彻子 著
最好的告别 : 关于衰老与死亡，你必须知道的常识,54.9,2015,浙江人民出版社,美,阿图·葛文德(Atul Gawande)
人间词话,9.8,1998,上海古籍出版社,中国,王国维
绝叫,58.0,2020,北京联合出版公司,日,叶真中显
呼兰河传 : 1947年版本・原版珍藏,19.0,2005,百花文艺出版社,中国,萧红
罪与罚,23.0,2006,上海译文出版社,俄,陀思妥耶夫斯基
冬牧场,29.8,2012,新星出版社,中国,李娟
道德经,4.5,1996,陕西人民出版社,中国,黄元吉
棋王·树王·孩子王 : 阿城文集 之一,58.0,2016,江苏凤凰文艺出版社,中国,阿城
看见,39.8,2013,广西师范大学出版社,中国,柴静
也许你该找个人聊聊,68.0,2021,上海文化出版社,美,洛莉·戈特利布
离开的，留下的 : 那不勒斯四部曲3,62.0,2017,人民文学出版社,意,埃莱娜·费兰特
浪潮之巅,55.0,2011,电子工业出版社,中国,吴军
毛泽东选集 第一卷,40.0,1991,人民出版社,中国,毛泽东
叫魂 : 1768年中国妖术大恐慌,38.0,2014,生活·读书·新知三联书店 上海三联书店,美,孔飞力
爱你就像爱生命,18.0,2008,上海锦绣文章出版社,中国,王小波
桶川跟踪狂杀人事件,45.0,2021,四川人民出版社,日,清水洁
失明症漫记,29.5,2014,南海出版公司,葡,若泽·萨拉马戈
我们仨,18.8,2003,生活·读书·新知三联书店,中国,杨绛
人生的枷锁,32.0,2007,上海译文出版社,英,毛姆
看不见的城市,25.0,2012,译林出版社,意,伊塔洛·卡尔维诺
受戒 : 汪曾祺自选集,3.95,1987,漓江出版社,中国,汪曾祺
教父,23.3,1997,译林出版社,美,马里奥·普佐
海子的诗,15.4,1999,人民文学出版社,中国,海子
巨人的陨落 : 世纪三部曲,129.8,2016,江苏凤凰文艺出版社,英,肯·福莱特
人生的智慧,28.0,2008,上海人民出版社,德,叔本华
少年凯歌,10.0,2001,人民文学出版社,中国,人民文学出版社
飞鸟集,16.8,2004,哈尔滨出版社,印,罗宾德拉纳德·泰戈尔
斯通纳,49.0,2016,上海人民出版社,美,约翰·威廉斯
遥远的向日葵地,38.0,2017,花城出版社,中国,李娟
鹿鼎记,108.0,2008,广州出版社 花城出版社,中国,金庸
茶馆,9.8,2002,人民文学出版社,中国,老舍
克莱因壶,48.0,2019,化学工业出版社,日,冈岛二人
一间只属于自己的房间,45.0,2019,天津人民出版社,英,弗吉尼亚·伍尔夫
边城,12.0,2002,北岳文艺出版社,中国,沈从文
陆犯焉识,35.0,2011,作家出版社,中国,严歌苓
人间草木,20.0,2005,江苏文艺出版社,中国,汪曾祺
梦里花落知多少,28.0,2007,北京十月文艺出版社,中国,三毛
筚路维艰 : 中国社会主义路径的五次选择,45.0,2014,社会科学文献出版社,中国,萧冬连
额尔古纳河右岸,32.0,2019,人民文学出版社,中国,迟子建
十万个为什么,30.0,1962,少年儿童出版社,中国,少年儿童出版社
时间简史 : 插图本,45.0,2010,湖南科学技术出版社,英,史蒂芬·霍金
面纱,39.8,2016,江西人民出版社,英,威廉·萨默塞特·毛姆
西线无战事,49,2021,上海文艺出版社,德,埃里希·玛丽亚·雷马克
王尔德童话,6.0,2003,译林出版社,英,王尔德
金色梦乡,35.0,2010,译林出版社,日,伊坂幸太郎
小径分岔的花园,23.0,2015,上海译文出版社,阿根廷,豪·路·博尔赫斯
这些人，那些事,28.0,2011,译林出版社,中国,吴念真
13 67 : 陳浩基作品2,350,2014,皇冠文化出版有限公司,中国,陳浩基
流俗地,55.0,2021,北京十月文艺出版社,马来西亚,黎紫书
昨日的世界 : 一个欧洲人的回忆,32.0,2004,广西师范大学出版社,奥,斯蒂芬·茨威格
平面国 : 多维空间传奇往事,39.8,2020,上海文化出版社,英,埃德温·A.艾勃特
我的天才女友 : 那不勒斯四部曲1,42.0,2017,人民文学出版社,意,埃莱娜·费兰特
南京大屠杀 : 第二次世界大战中被遗忘的大浩劫,49.0,2015,中信出版社,美,张纯如(Iris Chang)
绿毛水怪,30.0,2009,时代文艺出版社,中国,王小波
一句顶一万句,29.8,2009,长江文艺出版社,中国,刘震云
你当像鸟飞往你的山,59.0,2019,南海出版公司,中国,塔拉·韦斯特弗
2001：太空漫游 : 《太空漫游四部曲》第1部,62.0,2019,上海文艺出版社,英,阿瑟·克拉克
长日将尽,48,2018,上海译文出版社,英,石黑一雄
故事 : 材质·结构·风格和银幕剧作的原理,68.0,2014,天津人民出版社,美,罗伯特·麦基
海的女儿,0.43,1978,上海译文出版社,中国,安徒生
阿勒泰的角落,25.0,2010,万卷出版公司,中国,李娟
國史大綱（上下）,76.0,2013,商务印书馆,中国,錢穆
经济学原理（上下）,88.0,2003,机械工业出版社,美,曼昆
地下室手记,39.8,2020,浙江文艺出版社,俄罗斯,陀思妥耶夫斯基
鹿川有许多粪,58.0,2021,武汉大学出版社,中国,李沧东
强风吹拂,39.0,2015,广西师范大学出版社,中国,三浦紫苑
安娜·卡列尼娜,37.0,2007,上海文艺出版社,俄,列夫·托尔斯泰
一个陌生女人的来信,20.0,2007,上海译文出版社,奥,斯蒂芬·茨威格
檀香刑,56.0,2017,浙江文艺出版社,中国,莫言
德米安 : 埃米尔·辛克莱的彷徨少年时,25.0,2009,上海人民出版社,德,赫尔曼·黑塞
苏菲的世界,26.0,2007,作家出版社,挪,乔斯坦·贾德
全球通史(上) : 从史前史到21世纪,42.0,2006,北京大学出版社,美,斯塔夫里阿诺斯
史蒂夫·乔布斯传,68.0,2011,中信出版社,美,沃尔特·艾萨克森
万水千山走遍,13.8,2003,哈尔滨出版社,中国,三毛
温柔的夜,28.0,2007,北京十月文艺出版社,中国,三毛
翦商 : 殷周之变与华夏新生,99.0,2022,广西师范大学出版社,中国,李硕
爱的艺术,15.0,2008,上海译文出版社,美,艾·弗洛姆
球状闪电,22.0,2005,四川科学技术出版社,中国,刘慈欣
不能承受的生命之轻 : 中文全译本百万纪念版,29.0,2010,上海译文出版社,中国,米兰·昆德拉
草房子,18.0,2009,江苏少年儿童出版社,中国,曹文轩
半生缘 : 张爱玲全集04——小说,29.6,2012,北京十月文艺出版社,中国,张爱玲
亮剑,28.0,2005,解放军文艺出版社,中国,都梁
古文观止,21.0,1987,中华书局,中国,吴楚材
霸王别姬,10.2,1999,人民文学出版社,中国,李碧华
我不知道该说什么，关于死亡还是爱情 : 来自切尔诺贝利的声音,34.8,2014,花城出版社,白俄,S·A·阿列克谢耶维奇
恶意,39.5,2016,南海出版公司,日,东野圭吾
冰与火之歌 : （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,330.0,2013,重庆出版社,美,乔治·R.R.马丁
我的阿勒泰,25.0,2010,云南人民出版社,中国,李娟
生死疲劳,69.9,2022,浙江文艺出版社,中国,莫言
倾城之恋 : 张爱玲全集01——小说,29.8,2012,北京十月文艺出版社,中国,张爱玲
麦琪的礼物 : 欧·亨利短篇小说经典,25.0,2003,上海社会科学院出版社,美,欧·亨利
社会心理学 : （第8版）,68.0,2006,人民邮电出版社,美,戴维·迈尔斯
激荡三十年（上） : 中国企业1978-2008,35.0,2007,中信出版社 浙江人民出版社,中国,吴晓波
我也有一个梦想 : 近距离看美国之三,25.0,2004,生活·读书·新知三联书店,中国,林达
天朝的崩溃 : 鸦片战争再研究,32.0,2005,生活·读书·新知三联书店,中国,茅海建
海风中失落的血色馈赠,20.0,2015,上海文艺出版社,加拿大,阿利斯泰尔·麦克劳德
亲密关系,138.0,2015,人民邮电出版社,美,罗兰·米勒 (Rowland S. Miller)
东晋门阀政治,49.0,2012,北京大学出版社,中国,田余庆
天生有罪 : 特雷弗·诺亚的变色人生,58.0,2018,北京联合出版公司,南非,特雷弗·诺亚
雕刻时光,45.0,2016,南海出版公司,苏,安德烈·塔可夫斯基
一桩事先张扬的凶杀案,25.0,2013,南海出版公司,哥伦比亚,加西亚·马尔克斯
万物有灵且美,28.8,2010,中国城市出版社,英,吉米·哈利
情书,18.0,2004,天津人民出版社,日,岩井俊二
从零开始的女性主义,52.0,2021,北京联合出版公司,日本,上野千鹤子
李光耀观天下,58.0,2015,北京大学出版社,中国,李光耀
荒原狼,13.0,2008,上海译文出版社,德,赫尔曼·黑塞
倚天屠龙记,47.0,1999,生活·读书·新知三联书店,中国,金庸
尼罗河上的惨案,22.0,2006,人民文学出版社,英,阿加莎·克里斯蒂
当呼吸化为空气,48.0,2016,浙江文艺出版社,美,保罗·卡拉尼什
罗生门,12.0,2008,上海译文出版社,日,芥川龙之介
在细雨中呼喊,25.0,2012,作家出版社,中国,余华
送你一颗子弹,25.0,2010,上海三联书店,中国,刘瑜
浮生六记,38,1999,人民文学出版社,清,沈复
九州·缥缈录,20.0,2005,新世界出版社,中国,江南
理想国,28.0,1986,商务印书馆,古希腊,柏拉图
父权制与资本主义,58.0,2020,浙江大学出版社,日,上野千鹤子
雷雨,9.2,1999,人民文学出版社,中国,曹禺
一千零一夜,22.0,2003,人民文学出版社,中国,纳训
孩子你慢慢来,28.0,2009,生活·读书·新知三联书店,中国,龙应台
雨季不再来,28.0,2007,北京十月文艺出版社,中国,三毛
水浒传（全二册）,50.6,1997,人民文学出版社,明,施耐庵
渴望生活 : 梵高传,29.8,2008,北京十月文艺出版社,美,欧文·斯通
你一生的故事 : 特德·姜科幻小说集,36.0,2015,译林出版社,美,特德·姜
银河系漫游指南,16.0,2005,四川科学技术出版社,英,道格拉斯·亚当斯
孙子兵法,20.0,2006,上海古籍出版社,中国,孙武
庄子,20.0,2007,中华书局,中国,孙通海 译注
现代艺术150年 : 一个未完成的故事,65.0,2017,广西师范大学出版社,英,威尔·贡培兹
骆驼祥子,12.0,1962,人民文学出版社,中国,老舍
明亮的夜晚,52,2023,台海出版社,韩,崔恩荣
不存在的骑士,22.0,2012,译林出版社,意,伊塔洛·卡尔维诺
野火集 : 二十年纪念版,25.0,2005,文汇出版社,中国,龙应台
银河帝国：基地七部曲 : 百万册纪念版,328.0,2015,江苏凤凰文艺出版社,美,艾萨克·阿西莫夫
最好的我们,55,2013,湖南文艺出版社,中国,八月长安
足利女童连续失踪事件,49.0,2022,文汇出版社,日,清水洁
论语,9.8,2006,中华书局,中国,刘胜利
象棋的故事,23.0,2007,上海译文出版社,奥,斯蒂芬·茨威格
跨越边界的社区（修订版） : 北京“浙江村”的生活史,68.0,2018,生活·读书·新知三联书店,中国,项飙
显微镜下的大明,52.0,2019,湖南文艺出版社,中国,马伯庸
会饮篇,12.0,2013,商务印书馆,古希腊,柏拉图
坟,16.0,2006,人民文学出版社,中国,鲁迅
帷幕 : 阿加莎·克里斯蒂作品33,26.0,2015,新星出版社,英,阿加莎·克里斯蒂
二手时间,55.0,2016,中信出版社,白俄,S. A. 阿列克谢耶维奇
你好，旧时光（上 下）,39.8,2009,新世界出版社,中国,八月长安
金锁记,13.5,2005,哈尔滨出版社,中国,张爱玲
枪炮、病菌与钢铁 : 人类社会的命运,45.0,2006,上海译文出版社,美,贾雷德·戴蒙德
时间的秩序,56.0,2019,湖南科学技术出版社,意,卡洛·罗韦利
顾城的诗,20.0,1998,人民文学出版社,中国,顾城
规训与惩罚 : 监狱的诞生,21.8,2003,生活·读书·新知三联书店,法,米歇尔·福柯
毛姆短篇小说精选集,36.0,2012,译林出版社,英,威廉·萨默塞特·毛姆
解忧杂货店,39.5,2014,南海出版公司,日,东野圭吾
命运,59.8,2022,浙江文艺出版社,中国,蔡崇达
火星救援,38.0,2015,译林出版社,美,安迪·威尔
黑箱：日本之耻,48.0,2019,中信出版集团,日,伊藤诗织
分成两半的子爵,20.0,2012,译林出版社,意,伊塔洛·卡尔维诺
哈姆莱特,7.0,2001,人民文学出版社,英,莎士比亚
包法利夫人,28.0,2003,人民文学出版社,中国,福楼拜
上学记,19.8,2006,生活·读书·新知三联书店,中国,何兆武 口述
挽救计划,68.0,2021,译林出版社,美,安迪·威尔
总统是靠不住的 : 近距离看美国之二,21.8,2004,生活·读书·新知三联书店,中国,林达
大明王朝1566,88.0,2016,花城出版社,中国,刘和平
认识电影 : 插图第11版,68.0,2007,世界图书出版公司,美,路易斯·贾内梯
奥斯维辛 : 一部历史,79.0,2016,广西师范大学出版社,英,劳伦斯·里斯
