图书名,国家,作者,出版社,出品方,副标题,原作名,译者,出版年,图书页数,平装定价,精装定价,丛书,ISBN,评分,评论人数,5星百分比,4星百分比,3星百分比,2星百分比,1星百分比,短评数,综评数,在读读者数,已读读者数,想读读者数,读书笔记数
红楼梦,中国,曹雪芹 著 / 高鹗,人民文学出版社,无,无,无,无,1996,1606,59.7,0.0,中国古典文学读本丛书,9787020002207,9.6,424131,0.8420000000000001,0.135,0.02,0.002,0.002,88230,4523,45714,676632,191368,4430
活着,中国,余华,作家出版社,无,无,无,无,2012,191,20.0,0.0,余华作品（2012版）,9787506365437,9.4,833712,0.7759999999999999,0.201,0.021,0.002,0.001,195320,12140,31277,1314497,362058,2464
1984,英国,乔治·奥威尔,北京十月文艺出版社,新经典文化,无,Nineteen Eighty-Four,刘绍铭,2010,304,0.0,28.0,新经典文库：桂冠文丛,9787530210291,9.4,284497,0.743,0.221,0.032,0.002,0.001,2377,756,0,0,0,0
哈利·波特,英国,J.K.罗琳 (J.K.Rowling),人民文学出版社,无,无,Harry Potter,苏农 / 马爱农 / 马爱新,2008,3104,0.0,498.0,无,9787020096695,9.7,107250,0.8490000000000001,0.132,0.017,0.001,0.001,17542,221,2859,151534,40000,54
三体全集,中国,刘慈欣,重庆出版社,科幻世界,地球往事三部曲,无,无,2012,1285,0.0,168.0,科幻世界·中国科幻基石丛书,9787229042066,9.5,187644,0.818,0.153,0.023,0.003,0.002,29942,4499,48118,330781,204626,338
百年孤独,哥伦比亚,加西亚·马尔克斯,南海出版公司,新经典文化,无,Cien años de soledad,范晔,2011,360,0.0,39.5,新经典文库：加西亚·马尔克斯作品,9787544253994,9.3,425681,0.698,0.242,0.052,0.005,0.002,117694,6754,62723,638568,455583,7870
飘,美国,玛格丽特·米切尔,译林出版社,无,无,Gone with the Wind,李美华,2000,1235,0.0,40.0,无,9787806570920,9.3,212517,0.7090000000000001,0.246,0.04,0.003,0.002,42160,3061,10953,468542,231719,825
动物农场,英国,乔治·奥威尔,上海译文出版社,无,无,Animal Farm,荣如德,2007,119,10.0,0.0,译文名著文库,9787532741854,9.3,160020,0.713,0.247,0.037,0.002,0.001,28274,591,5369,262788,168784,0
房思琪的初恋乐园,中国,林奕含,北京联合出版公司,磨铁图书,无,无,无,2018,272,45.0,0.0,无,9787559614636,9.2,379615,0.6890000000000001,0.261,0.043,0.004,0.003,120387,7078,22866,494188,279384,5787
三国演义（全二册）,中国,罗贯中,人民文学出版社,无,无,无,无,1998,990,39.5,0.0,中国古典文学读本丛书,9787020008728,9.3,168533,0.745,0.213,0.039,0.002,0.001,22097,1173,8861,347534,67012,854
福尔摩斯探案全集（上中下）,英国,阿瑟·柯南·道尔,群众出版社,无,无,无,丁钟华 等,1981,1820,53.0,68.0,无,9787501408580,9.3,133625,0.736,0.226,0.036,0.001,0.001,18929,575,7348,199743,73524,134
白夜行,日本,东野圭吾,南海出版公司,新经典文化,无,白夜行,刘姿君,2013,538,0.0,39.5,新经典文库·东野圭吾作品,9787544258609,9.2,475195,0.684,0.265,0.045,0.004,0.002,115144,9680,12702,608354,136771,1364
小王子,法国,圣埃克苏佩里 / (法国) 安东尼·德·圣-埃克苏佩里,人民文学出版社,无,无,Le Petit Prince,马振骋,2003,97,22.0,0.0,无,9787020042494,9.1,756316,0.657,0.276,0.062,0.004,0.002,149671,7738,20772,1139909,211473,2250
安徒生童话故事集,丹麦,安徒生,人民文学出版社,无,无,无,叶君健,1997,550,0.0,25.0,世界文学名著文库,9787020017713,9.3,132756,0.6890000000000001,0.262,0.046,0.002,0.001,16539,455,1929,246094,33129,52
天龙八部,中国,金庸,生活·读书·新知三联书店,无,无,无,无,1994,1978,96.0,0.0,金庸作品集（三联版）,9787108006721,9.2,132975,0.6829999999999999,0.267,0.047,0.003,0.001,23252,1161,3876,250304,67856,392
呐喊,中国,鲁迅,人民文学出版社,无,无,无,无,1973,160,0.36,0.0,鲁迅作品集,10019-1979,9.2,160467,0.723,0.233,0.042,0.002,0.001,20576,752,4876,348238,103028,714
撒哈拉的故事,中国,三毛,哈尔滨出版社,华文天下,无,无,无,2003,217,15.8,0.0,三毛全集（华文天下2003版）,9787806398791,9.2,174942,0.674,0.28,0.043,0.002,0.001,31634,3005,4630,246268,88768,508
悉达多,德国,赫尔曼·黑塞,天津人民出版社,果麦文化,一首印度的诗,Siddhartha,姜乙,2017,144,0.0,32.0,果麦·外国文学经典,9787201112695,9.3,105139,0.6970000000000001,0.243,0.052,0.006,0.002,40513,2760,5651,123608,95798,2411
邓小平时代,美国,傅高义 (Ezra.F.Vogel),生活·读书·新知三联书店,无,无,Deng Xiaoping and the Transformation of China,冯克利,2013,754,88.0,0.0,中国现代报告文学与传记,9787108041531,9.3,70754,0.752,0.208,0.03,0.004,0.006,21572,695,12099,86540,130282,2064
杀死一只知更鸟,美国,哈珀·李,译林出版社,无,无,To Kill a Mocking Bird,高红梅,2012,346,0.0,32.0,译林纪念版,9787544722766,9.2,146824,0.6809999999999999,0.266,0.048,0.004,0.001,36712,3523,12241,212269,267714,2447
明朝那些事儿（1-9）,中国,当年明月,中国海关出版社,磨铁图书,限量版,无,无,2009,0,0.0,358.2,明朝那些事儿（典藏本）,9787801656087,9.2,174898,0.7,0.255,0.04,0.003,0.002,37509,2089,25000,231810,115476,1683
失踪的孩子,意大利,埃莱娜·费兰特,人民文学出版社,99读书人,那不勒斯四部曲4,Storia della bambina perduta,陈英,2018,480,62.0,0.0,那不勒斯四部曲,9787020139927,9.2,81460,0.677,0.268,0.049,0.004,0.002,26091,1321,3798,111381,157503,2556
新名字的故事,意大利,埃莱娜·费兰特,人民文学出版社,99读书人,那不勒斯四部曲2,Storia del nuovo cognome,陈英,2017,492,59.0,0.0,那不勒斯四部曲,9787020125265,9.2,92058,0.66,0.291,0.044,0.004,0.001,26914,893,4449,126861,132013,2496
野草,中国,鲁迅,人民文学出版社,无,无,无,无,1973,62,0.2,0.0,鲁迅作品集,10019-1981,9.5,47434,0.8109999999999999,0.161,0.025,0.002,0.001,8507,265,1639,80072,48625,404
沉默的大多数,中国,王小波,中国青年出版社,无,王小波杂文随笔全编,无,无,1997,555,27.0,0.0,王小波作品系列,9787500627098,9.1,151486,0.622,0.314,0.0579999999999999,0.004,0.002,23703,1491,20815,211601,241656,2020
中国历代政治得失,中国,钱穆,生活·读书·新知三联书店,无,无,无,无,2001,161,12.0,0.0,钱穆作品系列,9787108015280,9.2,72835,0.695,0.26,0.039,0.003,0.002,18157,1563,11757,94677,202302,1580
局外人,法国,阿尔贝·加缪,上海译文出版社,无,无,L'Etranger,柳鸣九,2010,128,0.0,22.0,译文经典（精装本）,9787532751471,9.1,240310,0.605,0.3279999999999999,0.061,0.004,0.001,61900,9059,9910,333576,208857,1850
白鹿原,中国,陈忠实,人民文学出版社,无,20周年精装典藏版,无,无,2012,697,0.0,39.0,无,9787020090297,9.2,107954,0.696,0.263,0.036,0.003,0.002,21375,3631,7117,167839,89005,599
乡土中国,中国,费孝通,上海人民出版社,无,无,无,无,2006,426,38.0,0.0,名家名著·文化史,9787208062153,9.2,90547,0.669,0.272,0.051,0.005,0.003,21464,1940,11013,126601,136913,1561
卡拉马佐夫兄弟,俄罗斯,费奥多尔·陀思妥耶夫斯基,上海译文出版社,无,无,БРАТЬЯ КАРАМАЗОВЫ,荣如德,2015,985,78.0,0.0,陀思妥耶夫斯基文集,9787532763696,9.6,34178,0.848,0.123,0.024,0.002,0.003,12115,1653,9992,40470,115378,2659
人类简史,以色列,尤瓦尔·赫拉利,中信出版社,见识城邦,从动物到上帝,,林俊宏,2014,440,68.0,0.0,“中信史学大师畅销经典”系列,9787508647357,9.1,199701,0.642,0.292,0.057,0.006,0.003,49792,3162,36365,243227,285649,6425
围城,中国,钱锺书,人民文学出版社,无,无,无,无,1991,359,19.0,0.0,无,9787020024759,9.0,447226,0.588,0.3429999999999999,0.065,0.003,0.001,71561,5767,28764,635415,252430,2147
平凡的世界（全三部）,中国,路遥,人民文学出版社,无,无,无,无,2005,1631,64.0,0.0,茅盾文学奖获奖作品全集,9787020049295,9.0,324410,0.679,0.255,0.055,0.0069999999999999,0.004,57633,7212,20595,482344,216179,1572
彷徨,中国,鲁迅,人民文学出版社,无,无,无,无,1973,162,0.37,0.0,鲁迅作品集,10019-1982,9.3,65608,0.757,0.207,0.034,0.002,0.001,7895,266,1639,133376,40946,284
罗杰疑案,英国,阿加莎·克里斯蒂,新星出版社,无,阿加莎·克里斯蒂作品02,The Murder of Roger Ackroyd,常禾,2013,246,28.0,0.0,午夜文库·大师系列：阿加莎·克里斯蒂作品,9787513311236,9.2,74623,0.708,0.251,0.038,0.002,0.001,29099,581,1416,90148,46414,207
许三观卖血记,中国,余华,作家出版社,无,无,无,无,2012,264,24.0,0.0,余华作品（2012版）,9787506365680,9.2,163838,0.687,0.2789999999999999,0.032,0.002,0.001,42103,3394,2489,282221,58805,837
笑傲江湖（全四册）,中国,金庸,生活·读书·新知三联书店,无,无,无,无,1994,1599,76.8,0.0,金庸作品集（三联版）,9787108006639,9.1,111844,0.648,0.289,0.0579999999999999,0.003,0.001,19234,1244,2094,205349,44151,489
我与地坛,中国,史铁生,春风文艺出版社,无,史铁生代表作,无,无,2002,399,25.0,0.0,春风文艺社·新经典文库,9787531324362,9.2,108835,0.69,0.263,0.043,0.003,0.001,18157,1620,8155,200669,112538,719
献给阿尔吉侬的花束,美国,丹尼尔·凯斯,广西师范大学出版社,理想国,无,Flowers for Algernon,陈澄和,2015,288,36.0,0.0,无,9787549565115,9.1,108952,0.6709999999999999,0.271,0.051,0.006,0.002,41730,2402,5848,131549,149905,1493
东方快车谋杀案,英国,阿加莎·克里斯蒂,人民文学出版社,99读书人,无,Murder on the Orient Express,陈尧光,2006,254,18.0,0.0,阿加莎·克里斯蒂侦探推理系列,9787020056309,9.1,139703,0.631,0.312,0.054,0.003,0.0,24213,841,3271,240815,128930,90
肖申克的救赎,美国,斯蒂芬·金,人民文学出版社,99读书人,无,Different Seasons,施寄青 / 赵永芬 / 齐若兰,2006,466,29.9,0.0,99畅销文库：斯蒂芬·金,9787020054985,9.1,121561,0.68,0.272,0.044,0.002,0.001,20260,845,5024,198396,116600,648
江城,美国,彼得·海斯勒,上海译文出版社,无,无,River Town,李雪顺,2012,446,36.0,0.0,译文纪实,9787532756728,9.1,62955,0.612,0.326,0.055,0.005,0.002,22946,1213,8221,99695,148368,3056
基督山伯爵,法国,大仲马,上海译文出版社,无,无,Le Comte de Monte-Cristo,周克希 / 韩沪麟,1991,1453,0.0,43.9,无,9787532712243,9.1,129484,0.636,0.299,0.062,0.003,0.001,22127,1536,8522,205256,105173,355
霍乱时期的爱情,哥伦比亚,加西亚·马尔克斯,南海出版公司,新经典文化,无,El amor en los tiempos del cólera,杨玲,2012,401,0.0,39.5,新经典文库：加西亚·马尔克斯作品,9787544258975,9.0,285900,0.58,0.327,0.0819999999999999,0.008,0.004,81050,5279,34483,380133,332487,12034
城南旧事,中国,林海音 文 / 关维兴 图,中国青年出版社,无,纪念普及版,无,无,2003,198,16.0,0.0,现当代文学名著系列,9787500652045,9.1,157311,0.627,0.318,0.052,0.002,0.001,26228,1402,3234,319055,84325,264
故事新编,中国,鲁迅,人民文学出版社,无,无,无,无,1973,129,0.31,0.0,鲁迅作品集,10019-1999,9.4,43356,0.792,0.177,0.0279999999999999,0.002,0.001,7236,259,1284,109872,49222,151
艺术的故事,英国,E·H·贡布里希,广西美术出版社,无,无,The Story of Art,范景中 / 杨成凯,2008,688,280.0,0.0,无,9787807463726,9.6,26363,0.792,0.179,0.026,0.002,0.002,6426,375,12080,39928,148930,1837
万历十五年,美国,黄仁宇,生活·读书·新知三联书店,无,无,无,无,1997,320,18.0,0.0,黄仁宇作品系列,9787108009821,9.0,202113,0.569,0.363,0.063,0.003,0.001,42598,3774,28442,281475,206148,2687
朝花夕拾,中国,鲁迅,人民文学出版社,无,无,无,无,1973,92,0.25,0.0,鲁迅作品集,10019-1985,9.1,155084,0.6509999999999999,0.294,0.052,0.002,0.001,16684,525,2916,282876,49702,409
月亮和六便士,英国,毛姆,上海译文出版社,无,无,The Moon and Sixpence,傅惟慈,2006,275,15.0,0.0,译文名著文库,9787532739547,9.0,209669,0.563,0.34,0.084,0.008,0.004,43239,11129,16411,298613,213806,4708
厌女,日本,上野千鹤子,上海三联书店,无,日本的女性嫌恶,女ぎらい,王兰,2015,261,28.0,0.0,无,9787542645715,9.1,81911,0.6779999999999999,0.261,0.047,0.0069999999999999,0.0069999999999999,31036,1824,13823,88585,156594,4769
秋园,中国,杨本芬,北京联合出版公司,乐府文化,无,无,无,2020,280,38.0,0.0,看见女性三重奏,9787559640666,9.0,108148,0.611,0.3339999999999999,0.051,0.003,0.001,48736,1526,3181,120345,90526,831
射雕英雄传,中国,金庸,生活·读书·新知三联书店,无,无,无,无,1999,1263,47.0,0.0,金庸作品集（三联口袋本）,9787108012586,9.1,85753,0.653,0.293,0.051,0.002,0.001,10885,668,1433,155163,26818,155
置身事内,中国,兰小欢,上海人民出版社,世纪文景,中国政府与经济发展,无,无,2021,340,65.0,0.0,世纪文景“大国之治”套装,9787208171336,9.1,79994,0.648,0.302,0.044,0.004,0.002,29906,1144,16516,84009,159529,2984
追风筝的人,美国,卡勒德·胡赛尼,上海人民出版社,世纪文景,无,The Kite Runner,李继宏,2006,362,29.0,0.0,卡勒德·胡赛尼作品,9787208061644,8.9,794987,0.575,0.35,0.068,0.005,0.002,176015,9665,59401,1206372,425095,4939
刀锋,英国,毛姆,上海译文出版社,无,无,The Razor's Edge,周煦良,2007,318,18.0,0.0,译文名著文库,9787532741922,9.0,91959,0.593,0.336,0.065,0.005,0.002,26902,3037,7531,137856,164969,2702
寻路中国,美国,彼得·海斯勒,上海译文出版社,无,从乡村到工厂的自驾之旅,Country,李雪顺,2011,426,33.0,0.0,译文纪实,9787532752805,9.0,56950,0.5770000000000001,0.35,0.066,0.005,0.002,19715,1062,9608,76690,128460,3013
树上的男爵,意大利,伊塔洛·卡尔维诺,译林出版社,无,无,Il barone rampante,吴正仪,2012,280,0.0,30.0,卡尔维诺经典,9787544722803,9.1,60381,0.626,0.308,0.061,0.004,0.001,20583,827,5104,86298,134340,1859
无人生还,英国,阿加莎·克里斯蒂,人民文学出版社,99读书人,无,And Then There Were None,祁阿红,2008,254,19.0,0.0,阿加莎·克里斯蒂侦探推理系列,9787020065394,9.0,150312,0.614,0.317,0.065,0.004,0.001,26046,1277,3072,203444,104646,115
格林童话全集,德国,格林兄弟,人民文学出版社,无,无,Kinder-und Hausmärchen,魏以新,1994,625,0.0,21.45,世界文学名著文库,9787020019526,9.0,95593,0.635,0.299,0.062,0.003,0.001,10353,247,1185,202672,23453,35
中国少年儿童百科全书（全四册）,中国,林崇德 主编,浙江教育出版社,无,无,无,无,1991,2800,168.0,0.0,无,9787533830953,9.4,18679,0.764,0.186,0.043,0.004,0.003,5331,101,356,26739,8916,0
鼠疫,法国,阿尔贝·加缪,上海译文出版社,无,无,La Peste,刘方,2013,280,0.0,34.0,加缪作品,9787532761753,9.1,79334,0.615,0.313,0.064,0.005,0.002,23689,2051,9516,107105,96934,2876
嫌疑人X的献身,日本,东野圭吾,南海出版公司,新经典文化,无,容疑者Xの献身,刘子倩,2008,251,0.0,28.0,新经典文库·东野圭吾作品,9787544241694,8.9,524253,0.5529999999999999,0.368,0.073,0.004,0.001,92323,4379,7563,684830,124552,1039
西游记（全二册）,中国,吴承恩 / 校注 黄肃秋,人民文学出版社,无,无,无,黄肃秋 注释,2004,1198,47.2,0.0,中国古典文学读本丛书,9787020008735,9.1,88958,0.688,0.253,0.054,0.003,0.001,10966,1022,3468,222333,26195,598
黄金时代,中国,王小波,花城出版社,无,时代三部曲,无,无,1999,375,19.0,0.0,王小波《时代三部曲》,9787536025080,8.9,166808,0.568,0.3429999999999999,0.081,0.006,0.002,31466,2042,12111,262770,124366,1113
可能性的艺术,中国,刘瑜,广西师范大学出版社,理想国,比较政治学30讲,无,无,2022,384,0.0,82.0,无,9787559848048,9.2,40860,0.665,0.27,0.049,0.009,0.0069999999999999,8270,265,6327,43239,105921,2307
史记（全十册）,中国,司马迁 / 张守节,中华书局,无,（全十册）,无,（索隐）司马贞，（正义）张守节,1982,3356,125.0,0.0,点校本二十四史,9787101003048,9.5,24956,0.816,0.153,0.027,0.002,0.001,3222,682,7813,42855,62138,532
傲慢与偏见,英国,奥斯丁,人民文学出版社,无,无,Pride and Prejudice,张扬,1993,310,13.0,0.0,名著名译插图本,9787020040179,8.9,233309,0.55,0.36,0.0819999999999999,0.006,0.002,35069,2450,7120,363163,112359,253
始于极限,日本,上野千鹤子 / (日) 铃木凉美,新星出版社,新经典文化,女性主义往复书简,往復書簡 限界から始まる,曹逸冰,2022,304,59.0,0.0,无,9787513349369,9.0,71398,0.613,0.304,0.068,0.008,0.006,28801,1211,10206,76660,144578,3725
悲惨世界（上中下）,法国,雨果,人民文学出版社,无,无,Les Misérables,李丹 / 方于,1992,1760,66.0,0.0,外国古典文学名著选粹,9787020017164,9.1,63893,0.6629999999999999,0.28,0.054,0.002,0.001,7435,1178,3832,132603,82145,205
台北人,中国,白先勇,广西师范大学出版社,理想国,无,无,无,2010,392,0.0,38.0,理想国·白先勇作品,9787563397648,9.0,73762,0.5770000000000001,0.36,0.059,0.003,0.001,24320,915,6087,107326,91586,551
诗经,中国,孔丘,北京出版社,无,无,无,无,2006,363,19.9,0.0,家庭书架·传世经典读库,9787200065039,9.5,28819,0.7909999999999999,0.176,0.0289999999999999,0.002,0.002,4054,363,5246,57852,39008,256
永恒的终结,美国,艾萨克·阿西莫夫,江苏凤凰文艺出版社,读客文化,关于时间旅行的终极奥秘和恢宏构想,The End of Eternity,崔正男,2014,264,32.0,0.0,读客外国小说文库：艾萨克·阿西莫夫作品,9787539957173,9.1,47409,0.647,0.285,0.06,0.006,0.002,18189,614,2755,59965,107637,475
孽子,中国,白先勇,广西师范大学出版社,理想国,无,无,无,2010,552,0.0,46.0,理想国·白先勇作品,9787563397655,9.2,47647,0.669,0.281,0.046,0.003,0.001,16144,958,3441,60842,77707,486
刘擎西方现代思想讲义,中国,刘擎,新星出版社,无,无,无,无,2021,384,0.0,79.0,得到讲义系列,9787513342919,9.2,36467,0.693,0.26,0.039,0.005,0.003,14263,724,6403,39563,102197,2667
历史深处的忧虑,中国,林达 / 李晓林,生活·读书·新知三联书店,无,近距离看美国之一,无,无,1997,320,19.0,0.0,林达作品系列,9787108010186,9.0,45901,0.58,0.35,0.062,0.005,0.003,12159,704,6169,80121,132238,1658
太白金星有点烦,中国,马伯庸,湖南文艺出版社,博集天卷,无,无,无,2023,276,45.0,0.0,博集天卷·马伯庸作品,9787572610912,9.0,85475,0.62,0.317,0.0559999999999999,0.005,0.002,37131,787,3730,91042,57536,847
神雕侠侣,中国,金庸,生活·读书·新知三联书店,无,无,神鵰俠侶,有1996年11月北平第4次印本,1994,1564,76.8,0.0,金庸作品集（三联版）,9787108006660,8.9,101292,0.591,0.331,0.071,0.005,0.002,14613,810,1619,157640,27666,424
上帝掷骰子吗,中国,曹天元,辽宁教育出版社,磨铁图书,量子物理史话,无,无,2006,369,32.0,0.0,无,9787538276374,9.2,34822,0.6659999999999999,0.275,0.051,0.006,0.002,9068,871,5238,46247,90790,382
美丽新世界,英国,奥尔德斯·赫胥黎,上海译文出版社,无,无,"BRAVE NEW WORLD, BRAVE NEW WORLD REVISITED",陈超,2017,349,0.0,45.0,译文经典（精装本）,9787532774685,9.2,57028,0.6509999999999999,0.292,0.05,0.004,0.002,900,306,0,0,0,0
一个叫欧维的男人决定去死,瑞典,弗雷德里克·巴克曼,四川文艺出版社,磨铁·大鱼读品,无,En man som heter Ove,宁蒙,2015,312,35.0,0.0,弗雷德里克·巴克曼 作品,9787541142185,9.1,68694,0.649,0.281,0.061,0.0069999999999999,0.002,21559,1597,4085,136067,136954,1147
